,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
208,Brouwer De Koning,Gabriela,CORDOBA,10/12/2021,09/12/2025,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
209,Cacace,Alejandro,SAN LUIS,10/12/2019,09/12/2023,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
210,Carrizo,Ana Carla,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
211,Cervi,Pablo,NEUQUEN,10/12/2021,09/12/2025,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
212,de Loredo,Rodrigo,CORDOBA,10/12/2021,09/12/2025,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
213,Martínez,Dolores,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
214,Tavela,Danya,BUENOS AIRES,10/12/2021,09/12/2025,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
215,Tejeda,María Victoria,SANTA FE,10/12/2021,09/12/2025,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
216,Tetaz,Martin Alberto,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
217,Yacobitti,Emiliano Benjamín,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,EVOLUCION RADICAL,JUNTOS POR EL CAMBIO
218,Borrego,Victoria,BUENOS AIRES,10/12/2021,09/12/2025,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
219,Campagnoli,Marcela,BUENOS AIRES,10/12/2021,09/12/2025,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
220,Espil,Santiago Eugenio,BUENOS AIRES,05/07/2023,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
221,Ferraro,Maximiliano,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
222,Frade,Mónica Edith,BUENOS AIRES,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
223,López,Juan Manuel,BUENOS AIRES,10/12/2021,09/12/2025,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
